# wicki-hayden concertina key layout in 12edo tuning
G, C-, 0\12
V, F-, -7\12
H, D-, 2\12
Y, G-, 7\12
F, A#, -2\12
D, G#, -4\12
U, A-, 9\12
7, , 14\12
T, , 5\12
B, , -5\12
C, D#, -9\12
J, E-, 4\12
S, F#, -6\12
X, C#, -11\12
8, , 16\12
6, , 12\12
N, , -3\12
I, B-, 11\12
R, , 3\12
K, , 6\12
L, , 8\12
O, , 13\12
E, , 1\12
Z, , -13\12
9, , 18\12
5, , 10\12
A, , -8\12
M, , -1\12
P, , 15\12
;, , 10\12
W, , -1\12
0, , 20\12
4, , 8\12
",", , 1\12
Q, , -3\12
3, , 6\12
., , 3\12
/, , 5\12
2, , 4\12
1, , 2\12
