Ctrl+N, File, New
Ctrl+O, File, Open...
Ctrl+S, File, Save as...
Ctrl+E, File, Export MIDI...
Ctrl+Q, File, Quit
F5, Play, From start
F6, Play, From top of screen
F7, Play, From cursor
F8, Play, Stop
Up, Cursor, Previous division
Shift+Up, Cursor, Previous division
Down, Cursor, Next division
Shift+Down, Cursor, Next division
Left, Cursor, Previous track
Shift+Left, Cursor, Previous track
Right, Cursor, Next track
Shift+Right, Cursor, Next track
Shift+Tab, Cursor, Previous track
Tab, Cursor, Next track
Ctrl+G, Cursor, Go to beat...
Alt+N, Insert, Note...
Alt+D, Insert, Drum note...
`, Insert, Note off
Alt+B, Insert, Pitch bend...
Alt+P, Insert, Program change...
Alt+T, Insert, Tempo change...
Alt+C, Insert, Control change...
Alt+A, Insert, Aftertouch...
Delete, Edit, Delete events
Ctrl+Z, Edit, Undo
Ctrl+Shift+Z, Edit, Redo
Ctrl+X, Edit, Cut
Ctrl+C, Edit, Copy
Ctrl+V, Edit, Paste
Ctrl+Shift+V, Edit, Mix paste
Insert, Edit, Insert division
Backspace, Edit, Delete division
Ctrl+T, Edit, Transpose...
Ctrl+I, Edit, Interpolate
Ctrl+M, Edit, Multiply...
Ctrl+Y, Edit, Vary...
Escape, Status, Toggle keyjazz
Keypad /, Status, Decrease octave
Keypad *, Status, Increase octave
Space, Status, Capture root pitch
Alt+V, Status, Set velocity...
Alt+Shift+C, Status, Set controller...
Ctrl+D, Status, Set division...
Ctrl+-, Status, Decrease division
Ctrl+=, Status, Increase division
Ctrl+Keypad /, Status, Halve division
Ctrl+Keypad *, Status, Double division
Ctrl+F, Status, Toggle song follow
Ctrl+K, Keymap, Load...
Ctrl+Shift+K, Keymap, Save as...
Ctrl+R, Keymap, Remap key...
Ctrl+Shift+E, Keymap, Generate equal division...
Ctrl+Shift+I, Keymap, Generate isomorphic...
Ctrl+L, Track, Set channel...
Ctrl+Insert, Track, Insert
Ctrl+Delete, Track, Delete
Ctrl+Shift+Tab, Track, Move left
Ctrl+Tab, Track, Move right
