Ctrl+O	File	Open...
Ctrl+S	File	Save as...
Ctrl+E	File	Export MIDI...
Ctrl+Q	File	Quit
Up	Cursor	Previous division
Down	Cursor	Next division
Left	Cursor	Previous track
Right	Cursor	Next track
Shift+Tab	Cursor	Previous track
Tab	Cursor	Next track
Ctrl+G	Cursor	Go to beat...
Ctrl+N	Edit	Insert note...
Ctrl+D	Edit	Insert drum note...
`	Edit	Insert note off
Ctrl+P	Edit	Insert program change...
Delete	Edit	Delete events
Ctrl+X	Edit	Cut
Ctrl+C	Edit	Copy
Ctrl+V	Edit	Paste
Ctrl+M	Edit	Mix paste
Ctrl+L	Track	Set channel...
Ctrl+Insert	Track	Insert
Ctrl+Delete	Track	Delete
Ctrl+Shift+Tab	Track	Move left
Ctrl+Tab	Track	Move right
